,Created Time/Date:,04:34 3Rd Oct 2013,,,,,,,,,
,Modified Time/Date:,12:31 24Th Oct 2013,,,,,,,,,
,Total Responses,100,,,,,,,,,
,Filtered Responses,0,,,,,,,,,
,Responses Excluded,0,,,,,,,,,
,Survey Name,Sample Survey - Ping,,,,,,,,,
,,,,,,,,,,,
1,In The Past Month  How Many Times Have You Visited [Our Website]? I Have Visited [The Website]....,,,,,,,,,,
,,Responses,Percent,,,,,,,,
,0 Times In The Last Month,27,27%,,,,,,,,
,1 To 3 Times In The Last Month,12,12%,,,,,,,,
,4 To 6 Times In The Last Month,22,22%,,,,,,,,
,7 To 9 Times In The Last Month,19,19%,,,,,,,,
,More Than 10 Times In The Last Month,20,20%,,,,,,,,
,,,,,,,,,,,
,Total Clicks:,100,,,,,,,,,
,Total Responses:,100,,,,,,,,,
,,,,,,,,,,,
2,How Satisfied Are You With [Our Website]? Please Use A 10-Point Scale  Where 10 Is Extremely Satisfied And 0 Is Not Satisfied.,,,,,,,,,,
,,Responses,Percent,,,,,,,,
,10,7,9.5%,,,,,,,,
,9,5,6.8%,,,,,,,,
,8,11,14.9%,,,,,,,,
,7,4,5.4%,,,,,,,,
,6,6,8.1%,,,,,,,,
,5,5,6.8%,,,,,,,,
,4,9,12.2%,,,,,,,,
,3,11,14.9%,,,,,,,,
,2,6,8.1%,,,,,,,,
,1,10,13.5%,,,,,,,,
,0,0,0%,,,,,,,,
,,,,,,,,,,,
,Total Clicks:,74,,,,,,,,,
,Total Responses:,74,,,,,,,,,
,,,,,,,,,,,
3,How Likely Are You To Recommend [Our Website] To Your Friends Or Colleagues? Please Use A 10-Point Scale  Where 10 Is Extremely Likely And 0 Is Not Likely.,,,,,,,,,,
,,Responses,Percent,,,,,,,,
,10,6,7.4%,,,,,,,,
,9,6,7.4%,,,,,,,,
,8,14,17.3%,,,,,,,,
,7,6,7.4%,,,,,,,,
,6,9,11.1%,,,,,,,,
,5,9,11.1%,,,,,,,,
,4,8,9.9%,,,,,,,,
,3,4,4.9%,,,,,,,,
,2,10,12.3%,,,,,,,,
,1,9,11.1%,,,,,,,,
,0,0,0%,,,,,,,,
,,,,,,,,,,,
,Total Clicks:,81,,,,,,,,,
,Total Responses:,81,,,,,,,,,
,,,,,,,,,,,
4,Why Do You Say That About [Our Website]?,,,,,,,,,,
,Total Responses:,51,,,,,,,,,
,Not Answered:,0,,,,,,,,,
,,,,,,,,,,,
,----------------------,,,,,,,,,,
,7,0789 345 123,,,,,,,,,
,8,73 Appling Way,,,,,,,,,
,9,1234564567,,,,,,,,,
,10,8/28/2010,,,,,,,,,
,11,I Don't Know Simple Smithy,,,,,,,,,
,14,Tv Show I Don't Know Good For,,,,,,,,,
,18,1234564567,,,,,,,,,
,19,123 Cline St,,,,,,,,,
,22,5/21/2002,,,,,,,,,
,23,Apples Once Email Simple Banana,,,,,,,,,
,24,For Apricots Don't Tv Show Email,,,,,,,,,
,25,3/14/2002,,,,,,,,,
,27,0,,,,,,,,,
,28,0,,,,,,,,,
,29,0,,,,,,,,,
,31,Chris.Weaver@Test.Net,,,,,,,,,
,33,Simple,,,,,,,,,
,34,25 Cline St,,,,,,,,,
,36,123-123-1234,,,,,,,,,
,38,Hate It Email Don't Don't,,,,,,,,,
,40,Customers Banana Email I Don't Know So What,,,,,,,,,
,41,0,,,,,,,,,
,42,Tv Show Love It Apples,,,,,,,,,
,44,0,,,,,,,,,
,45,Tv Show Email Grapes The,,,,,,,,,
,47,0789 345 123,,,,,,,,,
,48,Apples,,,,,,,,,
,51,A Once Grapes Good Good,,,,,,,,,
,53,127 Apple Wood Ln,,,,,,,,,
,54,0789 345 123,,,,,,,,,
,61,Tv Show For,,,,,,,,,
,65,Once Don't Don't Banana Customers,,,,,,,,,
,68,0,,,,,,,,,
,70,Smithy Apricots Once Hate It Fortune,,,,,,,,,
,73,0,,,,,,,,,
,75,0,,,,,,,,,
,81,0,,,,,,,,,
,82,5/4/2008,,,,,,,,,
,83,9/4/2009,,,,,,,,,
,85,6/10/1998,,,,,,,,,
,88,0,,,,,,,,,
,89,9/25/1998,,,,,,,,,
,90,Tv Show Email Once Apples For,,,,,,,,,
,91,0,,,,,,,,,
,94,110 Appletree Ct,,,,,,,,,
,95,123-123-1234,,,,,,,,,
,96,Banana A The,,,,,,,,,
,97,0,,,,,,,,,
,98,77 Cline Dr,,,,,,,,,
,99,0,,,,,,,,,
,100,Ed.Rein@Acme.Com,,,,,,,,,
,,,,,,,,,,,
5,On Your Last Visit To [Our Website]  Did You Make A Purchase?,,,,,,,,,,
,,Responses,Percent,,,,,,,,
,Yes,25,32.9%,,,,,,,,
,No,23,30.3%,,,,,,,,
,Not Sure,28,36.8%,,,,,,,,
,,,,,,,,,,,
,Total Clicks:,76,,,,,,,,,
,Total Responses:,76,,,,,,,,,
,,,,,,,,,,,
6,Please Choose The Types Of Products You Purchased From [Our Website] During Your Last Visit. (Please Select All That Apply),,,,,,,,,,
,,Responses,Percent,,,,,,,,
,Books,10,58.8%,,,,,,,,
,Electronics,8,47.1%,,,,,,,,
,Toys,8,47.1%,,,,,,,,
,Clothing,9,52.9%,,,,,,,,
,Jewelry,10,58.8%,,,,,,,,
,Pet Supplies,10,58.8%,,,,,,,,
,Music,10,58.8%,,,,,,,,
,Kitchen Supplies,9,52.9%,,,,,,,,
,Gift Cards,7,41.2%,,,,,,,,
,Other  Please Specify,11,64.7%,,,,,,,,
,,,,,,,,,,,
,Total Clicks:,92,,,,,,,,,
,Total Responses:,17,,,,,,,,,
,,,,,,,,,,,
7,How Much Did You Spend In Total  Including Shipping For Your Last Purchase At [Our Website]. (Please Supply Your Best Estimate Of The Amount Spent.),,,,,,,,,,
,Total Responses:,12,,,,,,,,,
,Not Answered:,0,,,,,,,,,
,,,,,,,,,,,
,----------------------,,,,,,,,,,
,14,1234564567,,,,,,,,,
,16,0,,,,,,,,,
,18,0,,,,,,,,,
,19,0,,,,,,,,,
,30,1234564567,,,,,,,,,
,36,0,,,,,,,,,
,54,0,,,,,,,,,
,68,0,,,,,,,,,
,73,1234564567,,,,,,,,,
,88,0,,,,,,,,,
,97,0,,,,,,,,,
,100,0,,,,,,,,,
,,,,,,,,,,,
8,When It Comes To Purchasing The Item Or Items That You Purchased At [Our Website] Again  How Likely Are You To Visit [Our Website]? Please Use A 10-Point Scale  Where 10 Is Extremely Likely And 0 Is Not Likely.,,,,,,,,,,
,,Responses,Percent,,,,,,,,
,10,3,15%,,,,,,,,
,9,1,5%,,,,,,,,
,8,3,15%,,,,,,,,
,7,4,20%,,,,,,,,
,6,2,10%,,,,,,,,
,5,0,0%,,,,,,,,
,4,1,5%,,,,,,,,
,3,3,15%,,,,,,,,
,2,3,15%,,,,,,,,
,1,0,0%,,,,,,,,
,0,0,0%,,,,,,,,
,,,,,,,,,,,
,Total Clicks:,20,,,,,,,,,
,Total Responses:,20,,,,,,,,,
,,,,,,,,,,,
9,Why Didn't You Make A Purchase From [Our Website] The Last Time You Visited? (Please Select All That Apply),,,,,,,,,,
,,Responses,Percent,,,,,,,,
,The Item I Wanted Was Not In Stock,13,76.5%,,,,,,,,
,I Was Just Doing Product Research,7,41.2%,,,,,,,,
,The Item I Wanted Was Too Expensive,12,70.6%,,,,,,,,
,I Did Not Want To Pay The Shipping Costs,8,47.1%,,,,,,,,
,The Item Would Not Arrive On Time,12,70.6%,,,,,,,,
,Other  Please Specify,8,47.1%,,,,,,,,
,,,,,,,,,,,
,Total Clicks:,60,,,,,,,,,
,Total Responses:,17,,,,,,,,,
,,,,,,,,,,,
10,How Likely Are You To...,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10
,Use Us In The Future?,16%,10%,14%,8%,4%,12%,8%,8%,14%,8%
,,8,5,7,4,2,6,4,4,7,4
,Use A Competitor?,4%,7%,1%,3%,9%,6%,9%,5%,7%,1%
,,4,7,1,3,9,6,9,5,7,1
,,,,,,,,,,,
11,Please Order These Services By Which You Value The Most (Top) To You To Which You Value The Least (Bottom).,,,,,,,,,,
,,1,2,3,4,5,,,,,
,Phone Support,14%,23%,22%,11%,30%,,,,,
,,10,17,16,8,22,,,,,
,Expedited Shipping,22%,22%,15%,23%,18%,,,,,
,,16,16,11,17,13,,,,,
,Promotional Offers,19%,19%,14%,32%,16%,,,,,
,,14,14,10,23,12,,,,,
,Frequent Buyer Rewards,27%,14%,26%,21%,12%,,,,,
,,20,10,19,15,9,,,,,
,Online Chat Support,18%,22%,23%,14%,23%,,,,,
,,13,16,17,10,17,,,,,
,,,,,,,,,,,
12,Please Tell Us How We Can Improve The Services Offered By [Our Website] To Make Your Experience Better.,,,,,,,,,,
,Total Responses:,57,,,,,,,,,
,Not Answered:,0,,,,,,,,,
,,,,,,,,,,,
,----------------------,,,,,,,,,,
,1,0,,,,,,,,,
