,Filters Applied,,,,,,,
,Status:,Fully & Part-Completed,,,,,,
,,,,,,,,
10,Do You Have Any Other Comments Regarding Your Bedroom/Suite? Please Start Your Comment With Your Room/Suite Number.,,,,,,,
,Total Responses:,432,,,,,,
,Not Answered:,0,,,,,,
,,,,,,,,
,----------------------,,,,,,,
,1,We Think That The Room Should Have Had A Tea Tray So That We Could Make Our Own Morning Tea. Ringing Down For Tea Might Be Acceptable At 5* Hotels In London  But It Feels Very Outdated In 2013 In Our View. We Do Know How To Make Our Own!,,,,,,
,2,Suite 5 - Truly Excellent. Beautifully Decorated And Very Comfortable Bed. Purely As Constructive Criticism  Bath Robes Would Have Been A Nice Additional Touch.,,,,,,
,6,The Bathroom Looked A Little Bare. For A Non Standard Room I Would Have Expected Dressing Gowns  Slippers And More Products.,,,,,,
,7,Disapointed There Was No Hospitality Tray- Its Great To Be Able To Make A Cup Of Tea Etc,,,,,,
,10,No Tea And Coffee Making Facilities That Were Complimentary,,,,,,
,11,Unfortunately There Was An Unpleasant Smell On The Landing Outside Of Our Bedroom.  It Was As If Someone Had Cleaned Using A Dirty Mop Or Cloth.  We Both Found It Rather Off-Putting On Arrival.  For This Reason I Can't Give You The Room Or Hotel Full Marks.,,,,,,
,12,A Little Dark.,,,,,,
,13,I Thought The Suite Of Rooms Was Very Expensive For What It Was - Basically A Small Corridor To The Toilet,,,,,,
,14,No Mini Bar - So No Wine Or Champagne Glasses In Room Asked For Ice Bucket And Got A Bucket With Water And 3 Ice Cubes In It,,,,,,
,18,Unfortunately The Inside Air Temperature Was Above 30C Which One Small Fan Could Do Nothing About.... Room 43 With Dsash Window As Wide As Possible Was Worse Than The Black Hole Of Calcutta (As Mentioned To Staff On Check-Out). This Is Unfortunate As In All Other Aspects The Hotel Was Excellent And Friendly,,,,,,
,22,There Was A 30Mm Tear In The Bottom Sheet  However This Was Minor For Us.,,,,,,
,27,28.  These Suggestions Would Take Our Experience From Good To Great.  The Ironing Board Being Removed Or At Least Put Away Following Our Room Being Cleaned.  Luxurious Bath Products Being Made Available  We Loved The Bath And Bathroom  Some Lovely Bubble Bath Would Have Made This Perfect.  Also Robe And Slippers Would Have Been A Nice Final Touch.,,,,,,
,31,Beautifully Appointed And Decorated  Impressed By The Size And Quality.,,,,,,
,32,The Suite Is Lovely - The Little Living Room Is Sweet But Sort Of Lacks Character A Bit.,,,,,,
,36,The Toilet Smelt Strongly If Urine.,,,,,,
,37,Room A Bit Dark. Though Room Could Be Brighter Paintwork,,,,,,
,39,Room42-Tap In Bathroom Very Noisy And Pressure Too High.,,,,,,
,40,Chair Ripped And Beams Were Dusty,,,,,,
,42,Room 33. The Refusal Of The 'Dressing-Table' Mirror To Remain Upright Detracts From The Appearance Of The Room.,,,,,,
